design,period_ns,frequency_mhz,derived_wns_ns,pass,derived_min_period_ns,derived_fmax_mhz,base_clock_period_ns,base_wns_ns,data_path_delay_ns,logic_levels,startpoint,endpoint
pipelined_plus5_firout_accbuf_trackercmp,9.500,105.263,1.372,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,9.000,111.111,0.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,8.500,117.647,0.372,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,8.000,125.000,-0.128,FAIL,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,7.500,133.333,-0.628,FAIL,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_fanout,25.000,40.000,17.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,20.000,50.000,12.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,15.000,66.667,7.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,12.500,80.000,4.636,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,11.000,90.909,3.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,10.000,100.000,2.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,9.500,105.263,1.636,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,9.000,111.111,1.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,8.500,117.647,0.636,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,8.000,125.000,0.136,PASS,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_fanout,7.500,133.333,-0.364,FAIL,7.864,127.162,10.000,2.136,7.667,1,u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK,u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D
pipelined_plus5_firout_accbuf_energy64,25.000,40.000,17.548,PASS,7.452,134.192,10.000,2.548,5.977,1,u_impl/gen_narrow_mag.u_mag/q_square0__3/CLK,u_impl/gen_narrow_mag.u_mag/q_square_reg__0/PCIN[0]
pipelined_plus5_firout_accbuf_energy64,20.000,50.000,12.548,PASS,7.452,134.192,10.000,2.548,5.977,1,u_impl/gen_narrow_mag.u_mag/q_square0__3/CLK,u_impl/gen_narrow_mag.u_mag/q_square_reg__0/PCIN[0]
pipelined_plus5_firout_accbuf_energy64,15.000,66.667,7.548,PASS,7.452,134.192,10.000,2.548,5.977,1,u_impl/gen_narrow_mag.u_mag/q_square0__3/CLK,u_impl/gen_narrow_mag.u_mag/q_square_reg__0/PCIN[0]
